,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2022 Audi Q3 - 40,img.autobytel.com/2022/audi/q3/2-550-oem-exterior-front1300-97773.jpg,"36,400",2022 Audi Q3,8,184,15.9,23,30,5,Regular Unleaded,62.9,176.6,72.8,105.5
2022 Audi Q3 - 45 S line,img.autobytel.com/2022/audi/q3/2-550-oem-exterior-front1300-97774.jpg,"38,700",2022 Audi Q3,8,228,15.9,21,28,5,Regular Unleaded,62.9,176.6,72.8,105.5
2021 Audi Q3 - 45 S line Premium,img.autobytel.com/2021/audi/q3/2-550-oemexteriorfront1300-93913.JPG,"36,000",2021 Audi Q3,8,228,15.9,20,28,5,Regular Unleaded,62.9,176.6,72.8,105.5
2021 Audi Q3 - 40,img.autobytel.com/2021/audi/q3/2-550-oem-exterior-front1300-96440.jpg,"34,000",2021 Audi Q3,8,184,15.9,22,30,5,Regular Unleaded,62.9,176.6,72.8,105.5
2020 Audi Q3 - 45 Premium,img.autobytel.com/2020/audi/q3/2-550-oemexteriorfront1300-92038.JPG,"34,700",2020 Audi Q3,8,228,15.9,19,27,5,Regular Unleaded,62.9,176.6,72.8,105.5
2020 Audi Q3 - S line,img.autobytel.com/2020/audi/q3/2-550-oemexteriorfront1300-92039.JPG,"36,000",2020 Audi Q3,8,228,15.9,19,27,5,Regular Unleaded,62.9,176.6,72.8,105.5
2019 Audi Q3 - 2.0T Premium,img.autobytel.com/2019/audi/q3/2-550-oemexteriorfront1300-90658.jpg,"34,700",2019 Audi Q3,8,228,15.9,19,27,5,Regular Unleaded,64.1,176.6,72.8,105.5
2019 Audi Q3 - S line,img.autobytel.com/2019/audi/q3/2-550-oemexteriorfront1300-90659.jpg,"36,000",2019 Audi Q3,8,228,15.9,19,27,5,Regular Unleaded,64.1,176.6,72.8,105.5
2018 Audi Q3 - FWD,img.autobytel.com/2018/audi/q3/2-550-oemexteriorfront1300-83312.jpg,"32,900",2018 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.5,172.8,72.1,102.5
2018 Audi Q3 - AWD,img.autobytel.com/2018/audi/q3/2-550-oemexteriorfront1300-83313.jpg,"35,000",2018 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.5,172.8,72.1,102.5
2018 Audi Q3 - Sport FWD,img.autobytel.com/2018/audi/q3/2-550-oemexteriorfront1300-86537.jpg,"33,900",2018 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.5,172.8,72.1,102.5
2018 Audi Q3 - Sport AWD,img.autobytel.com/2018/audi/q3/2-550-oemexteriorfront1300-86538.jpg,"36,000",2018 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.5,172.8,72.1,102.5
2017 Audi Q3 - FWD,img.autobytel.com/2017/audi/q3/2-550-oemexteriorfront1300-80680.jpg,"31,800",2017 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.6,172.8,72.1,102.5
2017 Audi Q3 - AWD,img.autobytel.com/2017/audi/q3/2-550-oemexteriorfront1300-80681.jpg,"33,900",2017 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.6,172.8,72.1,102.5
2016 Audi Q3 - FWD,img.autobytel.com/2016/audi/q3/2-550-oemexteriorfront1300-77075.jpg,"33,700",2016 Audi Q3,6,200,16.9,20,29,5,Premium Unleaded,62.6,172.8,72.1,102.5
2016 Audi Q3 - AWD,img.autobytel.com/2016/audi/q3/2-550-oemexteriorfront1300-77076.jpg,"35,800",2016 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.6,172.8,72.1,102.5
2015 Audi Q3 - FWD,img.autobytel.com/2015/audi/q3/2-550-oemexteriorfront1300-75183.jpg,"32,500",2015 Audi Q3,6,200,16.9,20,29,5,Premium Unleaded,62.6,172.6,72.1,102.5
2015 Audi Q3 - AWD,img.autobytel.com/2015/audi/q3/2-550-oemexteriorfront1300-75184.jpg,"34,600",2015 Audi Q3,6,200,16.9,20,28,5,Premium Unleaded,62.6,172.6,72.1,102.5
2023 Audi Q5 - 40,img.autobytel.com/2023/audi/q5/2-550-oem-exterior-front1300-100616.jpg,"44,200",2023 Audi Q5,7,201,18.5,23,29,5,Premium Unleaded,65.5,184.3,74.5,111.0
2023 Audi Q5 - 45 S line,img.autobytel.com/2023/audi/q5/2-550-oem-exterior-front1300-100618.jpg,"51,000",2023 Audi Q5,7,261,18.5,22,29,5,Premium Unleaded,65.4,184.6,74.5,111.0
2023 Audi Q5 - 45 S line,img.autobytel.com/2023/audi/q5/2-550-oem-exterior-front1300-100618.jpg,"51,000",2023 Audi Q5,7,261,18.5,22,29,5,Premium Unleaded,65.4,184.6,74.5,111.0
2022 Audi Q5 - 45 S line Premium,img.autobytel.com/2022/audi/q5/2-550-oem-exterior-front1300-97770.jpg,"50,100",2022 Audi Q5,7,261,18.5,23,28,5,Premium Unleaded,65.4,184.6,74.5,111.0
2022 Audi Q5 - 45 S line Premium,img.autobytel.com/2022/audi/q5/2-550-oem-exterior-front1300-97770.jpg,"50,100",2022 Audi Q5,7,261,18.5,23,28,5,Premium Unleaded,65.4,184.6,74.5,111.0
2022 Audi Q5 - 40,img.autobytel.com/2022/audi/q5/2-550-oem-exterior-front1300-100243.jpg,"43,300",2022 Audi Q5,7,201,18.5,23,29,5,Premium Unleaded,65.5,184.3,74.5,111.0
2021 Audi Q5 - 45 Premium,img.autobytel.com/2021/audi/q5/2-550-oem-exterior-front1300-96899.jpg,"47,800",2021 Audi Q5,7,261,18.5,23,28,5,Premium Unleaded,65.4,184.6,74.5,111.0
