,msrp,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Overall height,Overall Length,Overall Width,Wheelbase,Recommended fuel,img,model,year
2022 Porsche 911 - S RWD Cabriolet,129900.0,8.0,443.0,16.9,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97552.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera 4 AWD Coupe,108500.0,8.0,379.0,17.6,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97553.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera 4S AWD Coupe,124400.0,8.0,443.0,17.6,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97554.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera 4 AWD Cabriolet,121300.0,8.0,379.0,17.6,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97555.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera 4S AWD Cabriolet,137200.0,8.0,443.0,17.6,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97556.jpg,2022 Porsche 911,2022
2022 Porsche 911 - GT3 RWD Coupe,161100.0,7.0,502.0,16.9,15.0,18.0,2.0,50.4,180.0,72.9,96.7,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97557.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Targa 4 AWD Coupe,121300.0,8.0,379.0,17.6,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97558.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Targa 4S AWD Coupe,137200.0,8.0,443.0,17.6,18.0,23.0,4.0,51.2,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97559.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera GTS RWD Coupe,136700.0,8.0,473.0,16.9,17.0,23.0,4.0,50.9,178.5,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-98525.jpg,2022 Porsche 911,2022
2022 Porsche 911 - GTS RWD Cabriolet,149500.0,8.0,473.0,16.9,17.0,23.0,4.0,50.8,178.5,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-98526.jpg,2022 Porsche 911,2022
